pc_code,pc_description,country_code,country_name,value
P7,Cotton Yarn,1213,Kenya,0.689636
P7,Cotton Yarn,1395,Tanzania Rep,0.005534
P7,Cotton Yarn,1417,Uganda,0.018637
P7,Cotton Yarn,2057,Cameroon,0.112135
P7,Cotton Yarn,2199,Cote D' Ivoire,1.648066
P7,Cotton Yarn,2241,Madagascar,6.237437
P7,Cotton Yarn,2257,Mauritius,26.572963
P7,Cotton Yarn,3041,Botswana,0.182863
P7,Cotton Yarn,3102,Djibouti,0.292457
P7,Cotton Yarn,3115,Ethiopia,0.833184
P7,Cotton Yarn,3116,Eritrea,0.122307
P7,Cotton Yarn,3243,Malawi,0.001079
P7,Cotton Yarn,3267,Mozambique,0.199396
P7,Cotton Yarn,3291,Nigeria,0.480111
P7,Cotton Yarn,3461,Zambia,0.080721
P7,Cotton Yarn,4005,Algeria,3.605787
P7,Cotton Yarn,4111,Egypt A Rp,164.291093
P7,Cotton Yarn,4265,Morocco,21.518949
P7,Cotton Yarn,4365,South Africa,3.568437
P7,Cotton Yarn,4381,Sudan,0.686056
P7,Cotton Yarn,4407,Tunisia,12.193119
P7,Cotton Yarn,4463,Zimbabwe,0.034484
P7,Cotton Yarn,5059,Canada,2.044999
P7,Cotton Yarn,5423,U S A,14.723555
P7,Cotton Yarn,6015,Argentina,5.7533
P7,Cotton Yarn,6039,Bolivia,0.162325
P7,Cotton Yarn,6043,Brazil,5.127011
P7,Cotton Yarn,6073,Chile,9.153957
P7,Cotton Yarn,6083,Colombia,69.176283
P7,Cotton Yarn,6109,Ecuador,2.817105
P7,Cotton Yarn,6317,Paraguay,1.805868
P7,Cotton Yarn,6319,Peru,86.584706
P7,Cotton Yarn,6427,Uruguay,0.067464
P7,Cotton Yarn,6433,Venezuela,1.84818
P7,Cotton Yarn,7105,Dominica,0.002045
P7,Cotton Yarn,7171,Guyana,3.9e-05
P7,Cotton Yarn,8091,Costa Rica,0.059533
P7,Cotton Yarn,8113,El Salvador,0.517516
P7,Cotton Yarn,8165,Guatemala,20.066141
P7,Cotton Yarn,8177,Honduras,4.345866
P7,Cotton Yarn,9093,Cuba,0.34491
P7,Cotton Yarn,9103,Dominic Rep,8.80107
P7,Cotton Yarn,9161,Guadeloupe,2.2e-05
P7,Cotton Yarn,9253,Martinique,1.1e-05
P7,Cotton Yarn,9259,Mexico,4.310366
P7,Cotton Yarn,9311,Panama Republic,0.803983
P7,Cotton Yarn,10001,Afghanistan,0.00386
P7,Cotton Yarn,10017,Australia,1.614037
P7,Cotton Yarn,10027,Bangladesh Pr,571.718123
P7,Cotton Yarn,10038,Bhutan,0.002311
P7,Cotton Yarn,10056,Cambodia,3.188174
P7,Cotton Yarn,10077,China P Rp,1474.514808
P7,Cotton Yarn,10127,Fiji Is,0.000273
P7,Cotton Yarn,10179,Hong Kong,49.068279
P7,Cotton Yarn,10187,Indonesia,35.872851
P7,Cotton Yarn,10189,Iran,29.393583
P7,Cotton Yarn,10205,Japan,45.780059
P7,Cotton Yarn,10217,Korea Rp,107.726563
P7,Cotton Yarn,10245,Malaysia,23.909285
P7,Cotton Yarn,10258,Myanmar,40.823427
P7,Cotton Yarn,10273,Nepal,8.58133
P7,Cotton Yarn,10285,New Zealand,0.170831
P7,Cotton Yarn,10309,Pakistan Ir,131.709757
P7,Cotton Yarn,10323,Philippines,18.511833
P7,Cotton Yarn,10359,Singapore,1.127815
P7,Cotton Yarn,10369,Sri Lanka Dsr,73.566795
P7,Cotton Yarn,10397,Thailand,22.146406
P7,Cotton Yarn,10437,Vietnam Soc Rep,70.211158
P7,Cotton Yarn,11025,Baharain Is,9.244111
P7,Cotton Yarn,11191,Iraq,0.000105
P7,Cotton Yarn,11207,Jordan,5.251847
P7,Cotton Yarn,11219,Kuwait,0.012386
P7,Cotton Yarn,11225,Lebanon,1.691635
P7,Cotton Yarn,11301,Oman,0.382062
P7,Cotton Yarn,11335,Qatar,0.010524
P7,Cotton Yarn,11351,Saudi Arab,0.396573
P7,Cotton Yarn,11391,Syria,0.881281
P7,Cotton Yarn,11419,U Arab Emts,9.349933
P7,Cotton Yarn,12075,Taiwan,29.176625
P7,Cotton Yarn,12195,Israel,2.688853
P7,Cotton Yarn,12215,Korea Dp Rp,1.776463
P7,Cotton Yarn,12247,Maldives,0.000299
P7,Cotton Yarn,12281,New Caledonia,3e-06
P7,Cotton Yarn,13019,Austria,2.60692
P7,Cotton Yarn,13033,Belgium,14.883914
P7,Cotton Yarn,13101,Denmark,4.738961
P7,Cotton Yarn,13125,Finland,0.106245
P7,Cotton Yarn,13129,France,1.983968
P7,Cotton Yarn,13147,Germany,51.15218
P7,Cotton Yarn,13155,Greece,3.491869
P7,Cotton Yarn,13193,Ireland,3.4e-05
P7,Cotton Yarn,13197,Italy,51.279006
P7,Cotton Yarn,13275,Netherland,4.344298
P7,Cotton Yarn,13327,Portugal,110.025095
P7,Cotton Yarn,13367,Spain,21.591385
P7,Cotton Yarn,13387,Sweden,0.023494
P7,Cotton Yarn,13421,U K,3.708117
P7,Cotton Yarn,14297,Norway,0.303981
P7,Cotton Yarn,14389,Switzerland,0.125474
P7,Cotton Yarn,15049,Bulgaria,0.984088
P7,Cotton Yarn,15055,Belarus,0.000794
P7,Cotton Yarn,15092,Croatia,1.826475
P7,Cotton Yarn,15098,Czech Republic,7.914256
P7,Cotton Yarn,15114,Estonia,0.284008
P7,Cotton Yarn,15181,Hungary,0.225826
P7,Cotton Yarn,15212,Kazakhstan,0.000272
P7,Cotton Yarn,15224,Latvia,0.538831
P7,Cotton Yarn,15234,Lithuania,1.539116
P7,Cotton Yarn,15240,Macedonia,0.336218
P7,Cotton Yarn,15325,Poland,29.87062
P7,Cotton Yarn,15343,Romania,0.392326
P7,Cotton Yarn,15344,Russia,1.79564
P7,Cotton Yarn,15352,Serbia,0.406547
P7,Cotton Yarn,15356,Montenegro,1.448124
P7,Cotton Yarn,15360,Slovenia,0.761038
P7,Cotton Yarn,15422,Ukraine,6.076165
P7,Cotton Yarn,16095,Cyprus,0.171805
P7,Cotton Yarn,16409,Turkey,30.791187
P8,"Cotton Fabrics, Madeups Etc.",1213,Kenya,20.161522
P8,"Cotton Fabrics, Madeups Etc.",1395,Tanzania Rep,19.65944
P8,"Cotton Fabrics, Madeups Etc.",1417,Uganda,4.78203
P8,"Cotton Fabrics, Madeups Etc.",2035,Benin,47.452425
P8,"Cotton Fabrics, Madeups Etc.",2050,Burkina Faso,1.367593
P8,"Cotton Fabrics, Madeups Etc.",2057,Cameroon,3.001537
P8,"Cotton Fabrics, Madeups Etc.",2067,C Afri Rep,0.002032
P8,"Cotton Fabrics, Madeups Etc.",2069,Chad,0.523077
P8,"Cotton Fabrics, Madeups Etc.",2087,Congo P Rep,8.043041
P8,"Cotton Fabrics, Madeups Etc.",2141,Gabon,1.650111
P8,"Cotton Fabrics, Madeups Etc.",2199,Cote D' Ivoire,7.174875
P8,"Cotton Fabrics, Madeups Etc.",2241,Madagascar,9.600421
P8,"Cotton Fabrics, Madeups Etc.",2255,Mauritania,17.608971
P8,"Cotton Fabrics, Madeups Etc.",2257,Mauritius,11.571484
P8,"Cotton Fabrics, Madeups Etc.",2289,Niger,6.801668
P8,"Cotton Fabrics, Madeups Etc.",2345,Rwanda,2.545119
P8,"Cotton Fabrics, Madeups Etc.",2353,Senegal,71.109287
P8,"Cotton Fabrics, Madeups Etc.",2399,Togo,80.157533
P8,"Cotton Fabrics, Madeups Etc.",2459,Congo D. Rep.,13.850302
P8,"Cotton Fabrics, Madeups Etc.",3011,Angola,14.197419
P8,"Cotton Fabrics, Madeups Etc.",3041,Botswana,0.38911
P8,"Cotton Fabrics, Madeups Etc.",3053,Burundi,1.474859
P8,"Cotton Fabrics, Madeups Etc.",3085,Comoros,3.022446
P8,"Cotton Fabrics, Madeups Etc.",3102,Djibouti,1.064897
P8,"Cotton Fabrics, Madeups Etc.",3115,Ethiopia,4.577078
P8,"Cotton Fabrics, Madeups Etc.",3117,Equtl Guinea,1.963084
P8,"Cotton Fabrics, Madeups Etc.",3143,Gambia,21.125096
P8,"Cotton Fabrics, Madeups Etc.",3149,Ghana,17.811447
P8,"Cotton Fabrics, Madeups Etc.",3167,Guinea,10.191396
P8,"Cotton Fabrics, Madeups Etc.",3169,Guinea Bissau,0.00112
P8,"Cotton Fabrics, Madeups Etc.",3227,Lesotho,13.384341
P8,"Cotton Fabrics, Madeups Etc.",3229,Liberia,0.36647
P8,"Cotton Fabrics, Madeups Etc.",3243,Malawi,4.988852
P8,"Cotton Fabrics, Madeups Etc.",3249,Mali,6.795928
P8,"Cotton Fabrics, Madeups Etc.",3267,Mozambique,37.740395
P8,"Cotton Fabrics, Madeups Etc.",3269,Namibia,0.118053
P8,"Cotton Fabrics, Madeups Etc.",3291,Nigeria,37.931805
P8,"Cotton Fabrics, Madeups Etc.",3339,Reunion,0.417172
P8,"Cotton Fabrics, Madeups Etc.",3349,Sao Tome,0.026677
P8,"Cotton Fabrics, Madeups Etc.",3355,Seychelles,0.364512
P8,"Cotton Fabrics, Madeups Etc.",3357,Sierra Leone,4.106435
P8,"Cotton Fabrics, Madeups Etc.",3363,Somalia,0.078319
P8,"Cotton Fabrics, Madeups Etc.",3385,Swaziland,0.135122
P8,"Cotton Fabrics, Madeups Etc.",3461,Zambia,5.016572
P8,"Cotton Fabrics, Madeups Etc.",4005,Algeria,4.839486
P8,"Cotton Fabrics, Madeups Etc.",4111,Egypt A Rp,27.568
P8,"Cotton Fabrics, Madeups Etc.",4231,Libya,0.641247
P8,"Cotton Fabrics, Madeups Etc.",4265,Morocco,1.617536
P8,"Cotton Fabrics, Madeups Etc.",4365,South Africa,39.426432
P8,"Cotton Fabrics, Madeups Etc.",4381,Sudan,48.570088
P8,"Cotton Fabrics, Madeups Etc.",4407,Tunisia,2.825795
P8,"Cotton Fabrics, Madeups Etc.",4463,Zimbabwe,0.248816
P8,"Cotton Fabrics, Madeups Etc.",5059,Canada,93.662364
P8,"Cotton Fabrics, Madeups Etc.",5423,U S A,2037.286281
P8,"Cotton Fabrics, Madeups Etc.",6015,Argentina,4.19531
P8,"Cotton Fabrics, Madeups Etc.",6039,Bolivia,0.030946
P8,"Cotton Fabrics, Madeups Etc.",6043,Brazil,11.269068
P8,"Cotton Fabrics, Madeups Etc.",6073,Chile,25.956469
P8,"Cotton Fabrics, Madeups Etc.",6083,Colombia,23.473259
P8,"Cotton Fabrics, Madeups Etc.",6109,Ecuador,2.813861
P8,"Cotton Fabrics, Madeups Etc.",6317,Paraguay,1.120671
P8,"Cotton Fabrics, Madeups Etc.",6319,Peru,9.595689
P8,"Cotton Fabrics, Madeups Etc.",6427,Uruguay,1.125703
P8,"Cotton Fabrics, Madeups Etc.",6433,Venezuela,5.17871
P8,"Cotton Fabrics, Madeups Etc.",7013,Antigua,0.011227
P8,"Cotton Fabrics, Madeups Etc.",7020,Aruba,0.076381
