pc_code,pc_description,country_code,country_name,value
P7,Cotton Yarn,1213,Kenya,59.0
P7,Cotton Yarn,1395,Tanzania Rep,26.0
P7,Cotton Yarn,1417,Uganda,1.0
P7,Cotton Yarn,2035,Benin,3.0
P7,Cotton Yarn,2057,Cameroon,1.0
P7,Cotton Yarn,2199,Cote D' Ivoire,106.0
P7,Cotton Yarn,2241,Madagascar,353.0
P7,Cotton Yarn,2257,Mauritius,1243.0
P7,Cotton Yarn,2353,Senegal,2.0
P7,Cotton Yarn,3041,Botswana,20.0
P7,Cotton Yarn,3102,Djibouti,3.0
P7,Cotton Yarn,3115,Ethiopia,38.0
P7,Cotton Yarn,3116,Eritrea,6.0
P7,Cotton Yarn,3243,Malawi,0.0
P7,Cotton Yarn,3267,Mozambique,5.0
P7,Cotton Yarn,3291,Nigeria,16.0
P7,Cotton Yarn,3339,Reunion,0.0
P7,Cotton Yarn,3355,Seychelles,0.0
P7,Cotton Yarn,3461,Zambia,3.0
P7,Cotton Yarn,4005,Algeria,289.0
P7,Cotton Yarn,4111,Egypt A Rp,8290.0
P7,Cotton Yarn,4265,Morocco,876.0
P7,Cotton Yarn,4365,South Africa,105.0
P7,Cotton Yarn,4381,Sudan,39.0
P7,Cotton Yarn,4407,Tunisia,862.0
P7,Cotton Yarn,5059,Canada,80.0
P7,Cotton Yarn,5423,U S A,1066.0
P7,Cotton Yarn,6015,Argentina,191.0
P7,Cotton Yarn,6039,Bolivia,9.0
P7,Cotton Yarn,6043,Brazil,1168.0
P7,Cotton Yarn,6073,Chile,460.0
P7,Cotton Yarn,6083,Colombia,3616.0
P7,Cotton Yarn,6109,Ecuador,118.0
P7,Cotton Yarn,6317,Paraguay,20.0
P7,Cotton Yarn,6319,Peru,5321.0
P7,Cotton Yarn,6427,Uruguay,3.0
P7,Cotton Yarn,6433,Venezuela,408.0
P7,Cotton Yarn,7105,Dominica,7.0
P7,Cotton Yarn,8091,Costa Rica,4.0
P7,Cotton Yarn,8113,El Salvador,24.0
P7,Cotton Yarn,8165,Guatemala,1245.0
P7,Cotton Yarn,8177,Honduras,117.0
P7,Cotton Yarn,9093,Cuba,2.0
P7,Cotton Yarn,9103,Dominic Rep,509.0
P7,Cotton Yarn,9259,Mexico,180.0
P7,Cotton Yarn,9311,Panama Republic,62.0
P7,Cotton Yarn,9331,Puerto Rico,3.0
P7,Cotton Yarn,9383,Suriname,1.0
P7,Cotton Yarn,10001,Afghanistan,1.0
P7,Cotton Yarn,10017,Australia,89.0
P7,Cotton Yarn,10027,Bangladesh Pr,24632.0
P7,Cotton Yarn,10056,Cambodia,183.0
P7,Cotton Yarn,10077,China P Rp,67392.0
P7,Cotton Yarn,10127,Fiji Is,0.0
P7,Cotton Yarn,10179,Hong Kong,3366.0
P7,Cotton Yarn,10187,Indonesia,1567.0
P7,Cotton Yarn,10189,Iran,1228.0
P7,Cotton Yarn,10205,Japan,2327.0
P7,Cotton Yarn,10217,Korea Rp,6310.0
P7,Cotton Yarn,10245,Malaysia,857.0
P7,Cotton Yarn,10258,Myanmar,1689.0
P7,Cotton Yarn,10273,Nepal,516.0
P7,Cotton Yarn,10285,New Zealand,13.0
P7,Cotton Yarn,10309,Pakistan Ir,4015.0
P7,Cotton Yarn,10323,Philippines,1125.0
P7,Cotton Yarn,10359,Singapore,24.0
P7,Cotton Yarn,10369,Sri Lanka Dsr,3261.0
P7,Cotton Yarn,10397,Thailand,734.0
P7,Cotton Yarn,10437,Vietnam Soc Rep,7880.0
P7,Cotton Yarn,11025,Baharain Is,370.0
P7,Cotton Yarn,11191,Iraq,15.0
P7,Cotton Yarn,11207,Jordan,374.0
P7,Cotton Yarn,11219,Kuwait,1.0
P7,Cotton Yarn,11225,Lebanon,106.0
P7,Cotton Yarn,11301,Oman,23.0
P7,Cotton Yarn,11351,Saudi Arab,39.0
P7,Cotton Yarn,11391,Syria,104.0
P7,Cotton Yarn,11419,U Arab Emts,560.0
P7,Cotton Yarn,12075,Taiwan,1323.0
P7,Cotton Yarn,12163,Guam,2.0
P7,Cotton Yarn,12195,Israel,221.0
P7,Cotton Yarn,12215,Korea Dp Rp,120.0
P7,Cotton Yarn,12239,Macao,0.0
P7,Cotton Yarn,12247,Maldives,0.0
P7,Cotton Yarn,13019,Austria,54.0
P7,Cotton Yarn,13033,Belgium,676.0
P7,Cotton Yarn,13101,Denmark,196.0
P7,Cotton Yarn,13125,Finland,4.0
P7,Cotton Yarn,13129,France,100.0
P7,Cotton Yarn,13147,Germany,2379.0
P7,Cotton Yarn,13155,Greece,211.0
P7,Cotton Yarn,13197,Italy,2497.0
P7,Cotton Yarn,13275,Netherland,340.0
P7,Cotton Yarn,13327,Portugal,4999.0
P7,Cotton Yarn,13367,Spain,1285.0
P7,Cotton Yarn,13387,Sweden,1.0
P7,Cotton Yarn,13421,U K,183.0
P7,Cotton Yarn,14297,Norway,7.0
P7,Cotton Yarn,14389,Switzerland,8.0
P7,Cotton Yarn,15040,Bosnia-Hrzgovin,9.0
P7,Cotton Yarn,15049,Bulgaria,91.0
P7,Cotton Yarn,15055,Belarus,5.0
P7,Cotton Yarn,15092,Croatia,158.0
P7,Cotton Yarn,15098,Czech Republic,474.0
P7,Cotton Yarn,15114,Estonia,21.0
P7,Cotton Yarn,15181,Hungary,23.0
P7,Cotton Yarn,15212,Kazakhstan,6.0
P7,Cotton Yarn,15224,Latvia,34.0
P7,Cotton Yarn,15234,Lithuania,86.0
P7,Cotton Yarn,15240,Macedonia,45.0
P7,Cotton Yarn,15325,Poland,1398.0
P7,Cotton Yarn,15343,Romania,14.0
P7,Cotton Yarn,15344,Russia,110.0
P7,Cotton Yarn,15352,Serbia,42.0
P7,Cotton Yarn,15356,Montenegro,63.0
P7,Cotton Yarn,15358,Slovak Rep,18.0
P7,Cotton Yarn,15360,Slovenia,75.0
P7,Cotton Yarn,15422,Ukraine,240.0
P7,Cotton Yarn,16095,Cyprus,9.0
P7,Cotton Yarn,16409,Turkey,1671.0
P8,"Cotton Fabrics, Madeups Etc.",1213,Kenya,861.0
P8,"Cotton Fabrics, Madeups Etc.",1395,Tanzania Rep,1117.0
P8,"Cotton Fabrics, Madeups Etc.",1417,Uganda,431.0
P8,"Cotton Fabrics, Madeups Etc.",2035,Benin,1768.0
P8,"Cotton Fabrics, Madeups Etc.",2050,Burkina Faso,120.0
P8,"Cotton Fabrics, Madeups Etc.",2057,Cameroon,175.0
P8,"Cotton Fabrics, Madeups Etc.",2067,C Afri Rep,2.0
P8,"Cotton Fabrics, Madeups Etc.",2069,Chad,24.0
P8,"Cotton Fabrics, Madeups Etc.",2087,Congo P Rep,380.0
P8,"Cotton Fabrics, Madeups Etc.",2141,Gabon,125.0
P8,"Cotton Fabrics, Madeups Etc.",2199,Cote D' Ivoire,342.0
P8,"Cotton Fabrics, Madeups Etc.",2241,Madagascar,436.0
P8,"Cotton Fabrics, Madeups Etc.",2255,Mauritania,862.0
P8,"Cotton Fabrics, Madeups Etc.",2257,Mauritius,551.0
P8,"Cotton Fabrics, Madeups Etc.",2289,Niger,220.0
P8,"Cotton Fabrics, Madeups Etc.",2345,Rwanda,248.0
P8,"Cotton Fabrics, Madeups Etc.",2353,Senegal,2950.0
P8,"Cotton Fabrics, Madeups Etc.",2399,Togo,4800.0
P8,"Cotton Fabrics, Madeups Etc.",2459,Congo D. Rep.,603.0
P8,"Cotton Fabrics, Madeups Etc.",3011,Angola,1281.0
P8,"Cotton Fabrics, Madeups Etc.",3041,Botswana,14.0
P8,"Cotton Fabrics, Madeups Etc.",3053,Burundi,68.0
P8,"Cotton Fabrics, Madeups Etc.",3063,Cape Verde Is,1.0
P8,"Cotton Fabrics, Madeups Etc.",3085,Comoros,166.0
P8,"Cotton Fabrics, Madeups Etc.",3102,Djibouti,60.0
P8,"Cotton Fabrics, Madeups Etc.",3115,Ethiopia,54.0
P8,"Cotton Fabrics, Madeups Etc.",3116,Eritrea,7.0
P8,"Cotton Fabrics, Madeups Etc.",3117,Equtl Guinea,2.0
P8,"Cotton Fabrics, Madeups Etc.",3143,Gambia,928.0
P8,"Cotton Fabrics, Madeups Etc.",3149,Ghana,809.0
P8,"Cotton Fabrics, Madeups Etc.",3167,Guinea,204.0
P8,"Cotton Fabrics, Madeups Etc.",3227,Lesotho,556.0
P8,"Cotton Fabrics, Madeups Etc.",3229,Liberia,38.0
P8,"Cotton Fabrics, Madeups Etc.",3243,Malawi,270.0
P8,"Cotton Fabrics, Madeups Etc.",3249,Mali,420.0
