pc_code,pc_description,country_code,country_name,value
P7,Cotton Yarn,1213,Kenya,1.336654
P7,Cotton Yarn,1395,Tanzania Rep,0.587223
P7,Cotton Yarn,1417,Uganda,0.011771
P7,Cotton Yarn,2035,Benin,0.065406
P7,Cotton Yarn,2057,Cameroon,0.020257
P7,Cotton Yarn,2199,Cote D' Ivoire,2.39485
P7,Cotton Yarn,2241,Madagascar,7.934817
P7,Cotton Yarn,2257,Mauritius,27.965255
P7,Cotton Yarn,2353,Senegal,0.05385
P7,Cotton Yarn,3041,Botswana,0.440802
P7,Cotton Yarn,3102,Djibouti,0.078609
P7,Cotton Yarn,3115,Ethiopia,0.85559
P7,Cotton Yarn,3116,Eritrea,0.139393
P7,Cotton Yarn,3243,Malawi,0.000365
P7,Cotton Yarn,3267,Mozambique,0.107239
P7,Cotton Yarn,3291,Nigeria,0.353054
P7,Cotton Yarn,3339,Reunion,0.000135
P7,Cotton Yarn,3355,Seychelles,0.001038
P7,Cotton Yarn,3461,Zambia,0.06524
P7,Cotton Yarn,4005,Algeria,6.496479
P7,Cotton Yarn,4111,Egypt A Rp,186.557285
P7,Cotton Yarn,4265,Morocco,19.723602
P7,Cotton Yarn,4365,South Africa,2.360061
P7,Cotton Yarn,4381,Sudan,0.877521
P7,Cotton Yarn,4407,Tunisia,19.409699
P7,Cotton Yarn,5059,Canada,1.804117
P7,Cotton Yarn,5423,U S A,23.996427
P7,Cotton Yarn,6015,Argentina,4.295225
P7,Cotton Yarn,6039,Bolivia,0.207559
P7,Cotton Yarn,6043,Brazil,26.280889
P7,Cotton Yarn,6073,Chile,10.344019
P7,Cotton Yarn,6083,Colombia,81.37244
P7,Cotton Yarn,6109,Ecuador,2.645025
P7,Cotton Yarn,6317,Paraguay,0.443893
P7,Cotton Yarn,6319,Peru,119.752414
P7,Cotton Yarn,6427,Uruguay,0.063216
P7,Cotton Yarn,6433,Venezuela,9.171913
P7,Cotton Yarn,7105,Dominica,0.164801
P7,Cotton Yarn,8091,Costa Rica,0.097342
P7,Cotton Yarn,8113,El Salvador,0.543927
P7,Cotton Yarn,8165,Guatemala,28.011597
P7,Cotton Yarn,8177,Honduras,2.624669
P7,Cotton Yarn,9093,Cuba,0.041866
P7,Cotton Yarn,9103,Dominic Rep,11.458728
P7,Cotton Yarn,9259,Mexico,4.049802
P7,Cotton Yarn,9311,Panama Republic,1.385645
P7,Cotton Yarn,9331,Puerto Rico,0.063859
P7,Cotton Yarn,9383,Suriname,0.020418
P7,Cotton Yarn,10001,Afghanistan,0.031571
P7,Cotton Yarn,10017,Australia,1.998558
P7,Cotton Yarn,10027,Bangladesh Pr,554.338277
P7,Cotton Yarn,10056,Cambodia,4.128218
P7,Cotton Yarn,10077,China P Rp,1516.650816
P7,Cotton Yarn,10127,Fiji Is,0.001063
P7,Cotton Yarn,10179,Hong Kong,75.756624
P7,Cotton Yarn,10187,Indonesia,35.258814
P7,Cotton Yarn,10189,Iran,27.625906
P7,Cotton Yarn,10205,Japan,52.359976
P7,Cotton Yarn,10217,Korea Rp,142.004173
P7,Cotton Yarn,10245,Malaysia,19.296148
